ArrestSurrenderID,CaseMasterID,ArrestSurrenderTypeID,ArrestSurrenderDate,ArrestSurrenderStateId,ArrestSurrenderDistrictId,PoliceStationID,IOID,CourtID,AccusedMasterID,IsAccused,IsComplainantAccused
1,1,1,2024-04-20,29,20,1179,116,27,2,1,0
2,2,1,2025-10-31,29,4,1011,739,43,4,1,0
3,3,1,2024-08-05,29,29,1008,973,27,7,1,0
4,3,1,2024-08-05,29,10,1008,949,19,8,1,0
5,4,2,2025-01-02,29,2,1195,651,22,12,1,0
6,7,1,2025-09-06,29,25,1005,796,22,15,1,0
7,7,1,2025-09-06,29,31,1005,942,31,16,1,0
8,7,2,2025-09-06,29,8,1005,599,49,17,1,0
9,8,1,2024-04-16,29,11,1006,602,39,19,1,0
10,8,1,2024-04-16,29,7,1006,527,50,20,1,0
11,8,1,2024-04-16,29,27,1006,728,37,21,1,0
12,9,1,2024-07-27,29,22,1015,809,40,23,1,0
13,10,1,2024-03-19,29,27,1015,799,26,24,1,0
14,10,1,2024-03-19,29,2,1015,997,20,25,1,0
15,11,1,2024-08-19,29,8,1015,314,4,26,1,0
16,11,1,2024-08-19,29,26,1015,808,27,27,1,0
17,11,1,2024-08-19,29,1,1015,885,2,28,1,0
18,12,1,2025-09-23,29,31,1009,272,30,33,1,0
19,13,1,2025-01-20,29,3,1124,954,24,34,1,0
20,14,1,2025-05-24,29,3,1058,407,4,36,1,0
21,14,1,2025-05-24,29,10,1058,853,11,38,1,0
22,15,1,2024-02-29,29,9,1048,215,38,40,1,0
23,15,1,2024-02-29,29,22,1048,427,7,41,1,0
24,16,1,2024-11-02,29,30,1193,328,44,43,1,0
25,17,1,2024-10-25,29,27,1072,431,7,45,1,0
26,17,1,2024-10-25,29,6,1072,698,21,46,1,0
27,18,1,2025-12-23,29,4,1049,795,7,49,1,0
28,18,1,2025-12-23,29,31,1049,858,17,50,1,0
29,19,1,2025-04-27,29,14,1133,238,23,51,1,0
30,20,1,2025-01-14,29,21,1007,601,27,52,1,0
31,22,1,2025-11-30,29,18,1106,347,49,56,1,0
32,23,1,2026-04-19,29,6,1015,527,18,58,1,0
33,23,1,2026-04-19,29,29,1015,646,41,60,1,0
34,24,2,2024-01-31,29,17,1181,584,20,61,1,0
35,24,1,2024-01-31,29,15,1181,905,31,62,1,0
36,24,1,2024-01-31,29,22,1181,951,10,63,1,0
37,24,2,2024-01-31,29,13,1181,183,15,64,1,0
38,25,1,2025-11-08,29,24,1028,163,10,65,1,0
39,26,1,2024-05-10,29,24,1034,593,35,67,1,0
40,26,1,2024-05-10,29,2,1034,689,8,68,1,0
41,26,1,2024-05-10,29,2,1034,288,33,69,1,0
42,27,1,2024-03-21,29,4,1032,874,19,71,1,0
43,28,2,2024-06-26,29,13,1008,867,20,72,1,0
44,28,1,2024-06-26,29,16,1008,917,33,74,1,0
45,29,2,2025-08-06,29,30,1193,731,48,75,1,0
46,29,1,2025-08-06,29,15,1193,600,2,76,1,0
47,29,1,2025-08-06,29,11,1193,966,11,77,1,0
48,30,1,2025-07-29,29,3,1007,288,38,78,1,0
49,30,2,2025-07-29,29,3,1007,350,37,79,1,0
50,30,1,2025-07-29,29,23,1007,133,32,80,1,0
51,31,1,2026-04-16,29,30,1028,669,10,83,1,0
52,33,2,2026-01-28,29,25,1007,564,16,87,1,0
53,33,1,2026-01-28,29,19,1007,370,42,88,1,0
54,34,1,2026-05-09,29,4,1051,561,3,90,1,0
55,34,2,2026-05-09,29,27,1051,321,49,92,1,0
56,34,1,2026-05-09,29,13,1051,592,43,93,1,0
57,35,1,2024-10-14,29,25,1098,941,32,95,1,0
58,35,1,2024-10-14,29,5,1098,741,11,96,1,0
59,36,1,2024-07-15,29,1,1009,859,46,97,1,0
60,36,1,2024-07-15,29,21,1009,980,1,98,1,0
61,37,1,2025-01-27,29,12,1001,319,23,100,1,0
62,37,1,2025-01-27,29,15,1001,461,5,102,1,0
63,38,1,2026-05-16,29,4,1224,724,1,103,1,0
64,38,1,2026-05-16,29,25,1224,260,23,104,1,0
65,39,2,2024-06-03,29,30,1034,499,9,106,1,0
66,39,1,2024-06-03,29,26,1034,394,30,108,1,0
67,40,1,2024-02-20,29,23,1048,785,31,110,1,0
68,40,1,2024-02-20,29,27,1048,622,7,111,1,0
69,41,2,2024-08-08,29,15,1005,452,29,114,1,0
70,41,1,2024-08-08,29,26,1005,785,4,115,1,0
71,41,2,2024-08-08,29,11,1005,724,33,116,1,0
72,42,1,2024-03-02,29,3,1025,902,44,117,1,0
73,42,2,2024-03-02,29,16,1025,921,32,118,1,0
74,42,1,2024-03-02,29,8,1025,247,47,119,1,0
75,43,1,2025-12-31,29,13,1108,912,1,120,1,0
76,44,2,2025-05-27,29,10,1003,332,34,121,1,0
77,44,1,2025-05-27,29,1,1003,651,12,122,1,0
78,44,1,2025-05-27,29,4,1003,995,29,123,1,0
