CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,PolicePersonID,PoliceStationID,CaseCategoryID,GravityOffenceID,CrimeMajorHeadID,CrimeMinorHeadID,CaseStatusID,CourtID,IncidentFromDate,IncidentToDate,InfoReceivedPSDate,latitude,longitude,BriefFacts
1,100241179202600001,202600001,2024-04-20,348,1179,1,2,16,53,3,13,2024-04-10 01:45:12,2024-04-11 08:45:12,2024-04-20 01:45:12,15.429164,75.713003,A group of individuals engaged in a physical altercation near the market. The victim sustained head injuries after being hit with an iron rod.
2,100011011202600002,202600002,2025-10-31,447,1011,1,2,4,32,1,13,2025-10-24 14:45:10,2025-10-26 13:45:10,2025-10-31 14:45:10,13.031445,77.643391,Unknown persons broke the front door lock of the house during the night. Gold ornaments worth ₹157767 and cash were stolen.
3,100011008202600003,202600003,2024-08-05,767,1008,1,2,18,2,3,6,2024-08-03 18:22:29,2024-08-03 22:22:29,2024-08-05 18:22:29,13.000082,77.618567,Unknown persons broke the front door lock of the house during the night. Gold ornaments worth ₹123018 and cash were stolen.
4,100261195202600004,202600004,2025-01-02,533,1195,1,1,18,85,1,46,2024-12-25 04:51:58,2024-12-25 23:51:58,2025-01-02 04:51:58,16.252813,75.681339,"Complainant was added to a WhatsApp group promising 300% guaranteed returns. They transferred ₹1059481 to UPI ID user160@ybl. When trying to withdraw, the scammers vanished."
5,100031027202600005,202600005,2025-04-05,158,1027,1,1,17,11,2,12,2025-03-27 22:04:10,2025-03-28 09:04:10,2025-04-05 22:04:10,12.258625,76.709169,Victim received a video call from someone claiming to be CBI. They were told a FedEx courier with drugs was seized in their name. They transferred ₹313657 to clear their name.
6,100011002202600006,202600006,2024-12-31,367,1002,1,2,7,86,2,46,2024-12-22 09:02:12,2024-12-23 06:02:12,2024-12-31 09:02:12,12.916455,77.543023,Unknown persons broke the front door lock of the house during the night. Gold ornaments worth ₹199336 and cash were stolen.
7,100011005202600007,202600007,2025-09-06,650,1005,1,2,7,65,4,17,2025-09-04 19:57:57,2025-09-05 00:57:57,2025-09-06 19:57:57,12.948631,77.510634,"Fraudster contacted the victim from +919989653086 claiming to be bank staff. They asked to install an APK file. Shortly after, ₹34964 was debited from their SBI account."
8,100011006202600008,202600008,2024-04-16,783,1006,3,2,18,39,2,43,2024-04-07 20:43:33,2024-04-07 21:43:33,2024-04-16 20:43:33,12.910109,77.581981,A minor went missing from outside their school. Witnesses reported seeing them being forced into a white van.
9,100011015202600009,202600009,2024-07-27,749,1015,1,2,9,65,3,32,2024-07-23 14:44:08,2024-07-25 10:44:08,2024-07-27 14:44:08,13.02538,77.617474,Unknown persons broke the front door lock of the house during the night. Gold ornaments worth ₹283232 and cash were stolen.
10,100011015202600010,202600010,2024-03-19,822,1015,1,2,14,72,1,1,2024-03-11 21:55:12,2024-03-13 09:55:12,2024-03-19 21:55:12,13.022862,77.608687,"Complainant was added to a WhatsApp group promising 300% guaranteed returns. They transferred ₹1789269 to UPI ID invest169@okicici. When trying to withdraw, the scammers vanished."
11,100011015202600011,202600011,2024-08-19,315,1015,1,1,8,86,1,7,2024-08-18 13:08:47,2024-08-19 12:08:47,2024-08-19 13:08:47,13.054483,77.618645,A group of individuals engaged in a physical altercation near the market. The victim sustained head injuries after being hit with an iron rod.
12,100011009202600012,202600012,2025-09-23,125,1009,1,1,6,95,3,22,2025-09-20 06:50:49,2025-09-21 09:50:49,2025-09-23 06:50:49,12.925667,77.629484,Miscellaneous complaint registered regarding public nuisance and damage to public property.
13,100151124202600013,202600013,2025-01-20,412,1124,1,2,8,29,1,2,2025-01-12 12:20:43,2025-01-13 11:20:43,2025-01-20 12:20:43,12.421834,75.707159,Unknown persons broke the front door lock of the house during the night. Gold ornaments worth ₹256405 and cash were stolen.
14,100061058202600014,202600014,2025-05-24,128,1058,1,2,4,34,4,12,2025-05-15 22:29:33,2025-05-16 20:29:33,2025-05-24 22:29:33,15.465902,75.189269,Unknown persons broke the front door lock of the house during the night. Gold ornaments worth ₹68198 and cash were stolen.
15,100051048202600015,202600015,2024-02-29,145,1048,4,1,14,1,3,34,2024-02-25 10:19:54,2024-02-26 03:19:54,2024-02-29 10:19:54,15.773863,74.47148,"Complainant was added to a WhatsApp group promising 300% guaranteed returns. They transferred ₹774958 to UPI ID invest169@okicici. When trying to withdraw, the scammers vanished."
16,100261193202600016,202600016,2024-11-02,416,1193,1,2,14,42,1,26,2024-10-28 02:00:07,2024-10-29 11:00:07,2024-11-02 02:00:07,16.287949,75.652297,Unknown persons broke the front door lock of the house during the night. Gold ornaments worth ₹68343 and cash were stolen.
17,100081072202600017,202600017,2024-10-25,393,1072,1,2,7,56,2,38,2024-10-24 00:19:01,2024-10-24 20:19:01,2024-10-25 00:19:01,15.152228,76.877348,Unknown persons broke the front door lock of the house during the night. Gold ornaments worth ₹296510 and cash were stolen.
18,100051049202600018,202600018,2025-12-23,748,1049,1,1,20,43,1,6,2025-12-14 08:00:58,2025-12-16 03:00:58,2025-12-23 08:00:58,15.947851,74.51957,Unknown persons broke the front door lock of the house during the night. Gold ornaments worth ₹184001 and cash were stolen.
19,100171133202600019,202600019,2025-04-27,689,1133,1,2,7,92,1,45,2025-04-20 05:16:35,2025-04-21 22:16:35,2025-04-27 05:16:35,13.384924,75.684862,Victim received a video call from someone claiming to be CBI. They were told a FedEx courier with drugs was seized in their name. They transferred ₹87255 to clear their name.
20,100011007202600020,202600020,2025-01-14,968,1007,3,2,4,59,2,9,2025-01-05 00:23:57,2025-01-05 16:23:57,2025-01-14 00:23:57,12.888044,77.523122,"Fraudster contacted the victim from +919143519183 claiming to be bank staff. They asked to install an APK file. Shortly after, ₹11985 was debited from their SBI account."
21,100161131202600021,202600021,2026-04-05,950,1131,3,2,18,58,3,11,2026-03-27 02:01:54,2026-03-28 06:01:54,2026-04-05 02:01:54,11.885743,76.986298,Miscellaneous complaint registered regarding public nuisance and damage to public property.
22,100121106202600022,202600022,2025-11-30,830,1106,1,2,10,31,1,18,2025-11-22 03:49:00,2025-11-22 08:49:00,2025-11-30 03:49:00,13.393503,77.115028,Unknown persons broke the front door lock of the house during the night. Gold ornaments worth ₹114812 and cash were stolen.
23,100011015202600023,202600023,2026-04-19,163,1015,1,2,7,54,1,25,2026-04-11 02:20:04,2026-04-12 05:20:04,2026-04-19 02:20:04,13.03642,77.601457,Victim received a video call from someone claiming to be CBI. They were told a FedEx courier with drugs was seized in their name. They transferred ₹131247 to clear their name.
24,100241181202600024,202600024,2024-01-31,865,1181,1,2,18,78,3,15,2024-01-24 08:12:14,2024-01-25 19:12:14,2024-01-31 08:12:14,15.351881,75.603236,A minor went missing from outside their school. Witnesses reported seeing them being forced into a white van.
