CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,PoliceStationID,latitude,longitude,CaseCategoryID,GravityOffenceID,CaseStatusID,CrimeType,BriefFacts
1,"undefined","undefined","undefined",1179,undefined,undefined,1,2,3,"Assault/Violent","Detailed facts about Assault/Violent"
2,"undefined","undefined","undefined",1037,undefined,undefined,1,2,2,"Murder/Attempt","Detailed facts about Murder/Attempt"
3,"undefined","undefined","undefined",1090,undefined,undefined,1,2,1,"Cybercrime","Detailed facts about Cybercrime"
4,"undefined","undefined","undefined",1015,undefined,undefined,1,2,1,"Theft/Property","Detailed facts about Theft/Property"
5,"undefined","undefined","undefined",1013,undefined,undefined,1,1,1,"Cybercrime","Detailed facts about Cybercrime"
6,"undefined","undefined","undefined",1195,undefined,undefined,1,1,1,"Theft/Property","Detailed facts about Theft/Property"
7,"undefined","undefined","undefined",1214,undefined,undefined,1,1,4,"Cybercrime","Detailed facts about Cybercrime"
8,"undefined","undefined","undefined",1003,undefined,undefined,1,2,1,"Assault/Violent","Detailed facts about Assault/Violent"
9,"undefined","undefined","undefined",1045,undefined,undefined,1,2,1,"Fraud/Cheating","Detailed facts about Fraud/Cheating"
10,"undefined","undefined","undefined",1011,undefined,undefined,1,2,2,"Assault/Violent","Detailed facts about Assault/Violent"
11,"undefined","undefined","undefined",1009,undefined,undefined,1,1,1,"Assault/Violent","Detailed facts about Assault/Violent"
12,"undefined","undefined","undefined",1032,undefined,undefined,1,1,2,"Fraud/Cheating","Detailed facts about Fraud/Cheating"
13,"undefined","undefined","undefined",1197,undefined,undefined,1,2,1,"Cybercrime","Detailed facts about Cybercrime"
14,"undefined","undefined","undefined",1056,undefined,undefined,1,2,1,"Assault/Violent","Detailed facts about Assault/Violent"
15,"undefined","undefined","undefined",1013,undefined,undefined,1,2,1,"Fraud/Cheating","Detailed facts about Fraud/Cheating"
16,"undefined","undefined","undefined",1201,undefined,undefined,1,1,1,"Assault/Violent","Detailed facts about Assault/Violent"
17,"undefined","undefined","undefined",1177,undefined,undefined,1,2,2,"Cybercrime","Detailed facts about Cybercrime"
18,"undefined","undefined","undefined",1015,undefined,undefined,1,1,3,"Kidnapping","Detailed facts about Kidnapping"
19,"undefined","undefined","undefined",1015,undefined,undefined,1,2,1,"Murder/Attempt","Detailed facts about Murder/Attempt"
20,"undefined","undefined","undefined",1168,undefined,undefined,1,1,1,"Cybercrime","Detailed facts about Cybercrime"
21,"undefined","undefined","undefined",1161,undefined,undefined,1,1,3,"Fraud/Cheating","Detailed facts about Fraud/Cheating"
22,"undefined","undefined","undefined",1010,undefined,undefined,1,2,1,"Cybercrime","Detailed facts about Cybercrime"
23,"undefined","undefined","undefined",1038,undefined,undefined,1,2,3,"Fraud/Cheating","Detailed facts about Fraud/Cheating"
24,"undefined","undefined","undefined",1007,undefined,undefined,1,1,4,"Others","Detailed facts about Others"
25,"undefined","undefined","undefined",1030,undefined,undefined,1,2,3,"Theft/Property","Detailed facts about Theft/Property"
26,"undefined","undefined","undefined",1010,undefined,undefined,1,2,2,"Theft/Property","Detailed facts about Theft/Property"
27,"undefined","undefined","undefined",1031,undefined,undefined,1,2,1,"Assault/Violent","Detailed facts about Assault/Violent"
28,"undefined","undefined","undefined",1061,undefined,undefined,1,1,4,"Cybercrime","Detailed facts about Cybercrime"
29,"undefined","undefined","undefined",1045,undefined,undefined,1,1,2,"Theft/Property","Detailed facts about Theft/Property"
30,"undefined","undefined","undefined",1171,undefined,undefined,1,2,3,"Cybercrime","Detailed facts about Cybercrime"
31,"undefined","undefined","undefined",1060,undefined,undefined,1,2,3,"Others","Detailed facts about Others"
32,"undefined","undefined","undefined",1036,undefined,undefined,1,2,2,"Assault/Violent","Detailed facts about Assault/Violent"
33,"undefined","undefined","undefined",1008,undefined,undefined,1,1,1,"Fraud/Cheating","Detailed facts about Fraud/Cheating"
34,"undefined","undefined","undefined",1073,undefined,undefined,1,2,4,"Theft/Property","Detailed facts about Theft/Property"
35,"undefined","undefined","undefined",1044,undefined,undefined,1,2,3,"Theft/Property","Detailed facts about Theft/Property"
36,"undefined","undefined","undefined",1042,undefined,undefined,1,2,1,"Theft/Property","Detailed facts about Theft/Property"
37,"undefined","undefined","undefined",1026,undefined,undefined,1,2,1,"Cybercrime","Detailed facts about Cybercrime"
38,"undefined","undefined","undefined",1006,undefined,undefined,1,2,2,"Assault/Violent","Detailed facts about Assault/Violent"
39,"undefined","undefined","undefined",1152,undefined,undefined,1,1,4,"Robbery/Dacoity","Detailed facts about Robbery/Dacoity"
40,"undefined","undefined","undefined",1001,undefined,undefined,1,2,1,"Cybercrime","Detailed facts about Cybercrime"
41,"undefined","undefined","undefined",1075,undefined,undefined,1,2,2,"Fraud/Cheating","Detailed facts about Fraud/Cheating"
42,"undefined","undefined","undefined",1193,undefined,undefined,1,1,2,"Theft/Property","Detailed facts about Theft/Property"
43,"undefined","undefined","undefined",1011,undefined,undefined,1,2,1,"Robbery/Dacoity","Detailed facts about Robbery/Dacoity"
44,"undefined","undefined","undefined",1052,undefined,undefined,1,2,3,"Murder/Attempt","Detailed facts about Murder/Attempt"
45,"undefined","undefined","undefined",1032,undefined,undefined,1,2,1,"Fraud/Cheating","Detailed facts about Fraud/Cheating"
46,"undefined","undefined","undefined",1015,undefined,undefined,1,2,1,"Theft/Property","Detailed facts about Theft/Property"
47,"undefined","undefined","undefined",1154,undefined,undefined,1,1,4,"Cybercrime","Detailed facts about Cybercrime"
48,"undefined","undefined","undefined",1012,undefined,undefined,1,2,3,"Assault/Violent","Detailed facts about Assault/Violent"
49,"undefined","undefined","undefined",1004,undefined,undefined,1,2,4,"Fraud/Cheating","Detailed facts about Fraud/Cheating"
50,"undefined","undefined","undefined",1039,undefined,undefined,1,2,2,"Theft/Property","Detailed facts about Theft/Property"
51,"undefined","undefined","undefined",1012,undefined,undefined,1,1,1,"Theft/Property","Detailed facts about Theft/Property"
52,"undefined","undefined","undefined",1003,undefined,undefined,1,2,2,"Cybercrime","Detailed facts about Cybercrime"
53,"undefined","undefined","undefined",1100,undefined,undefined,1,1,4,"Assault/Violent","Detailed facts about Assault/Violent"
54,"undefined","undefined","undefined",1025,undefined,undefined,1,2,4,"Assault/Violent","Detailed facts about Assault/Violent"
55,"undefined","undefined","undefined",1004,undefined,undefined,1,2,1,"Assault/Violent","Detailed facts about Assault/Violent"
56,"undefined","undefined","undefined",1179,undefined,undefined,1,2,2,"Theft/Property","Detailed facts about Theft/Property"
57,"undefined","undefined","undefined",1002,undefined,undefined,1,1,1,"Cybercrime","Detailed facts about Cybercrime"
58,"undefined","undefined","undefined",1083,undefined,undefined,1,2,2,"Theft/Property","Detailed facts about Theft/Property"
59,"undefined","undefined","undefined",1036,undefined,undefined,1,2,2,"Murder/Attempt","Detailed facts about Murder/Attempt"
60,"undefined","undefined","undefined",1002,undefined,undefined,1,1,2,"Fraud/Cheating","Detailed facts about Fraud/Cheating"
61,"undefined","undefined","undefined",1005,undefined,undefined,1,1,1,"Cybercrime","Detailed facts about Cybercrime"
62,"undefined","undefined","undefined",1106,undefined,undefined,1,2,1,"Fraud/Cheating","Detailed facts about Fraud/Cheating"
63,"undefined","undefined","undefined",1006,undefined,undefined,1,2,2,"Fraud/Cheating","Detailed facts about Fraud/Cheating"
64,"undefined","undefined","undefined",1107,undefined,undefined,1,2,2,"Theft/Property","Detailed facts about Theft/Property"
65,"undefined","undefined","undefined",1040,undefined,undefined,1,1,1,"Cybercrime","Detailed facts about Cybercrime"
66,"undefined","undefined","undefined",1015,undefined,undefined,1,2,1,"Cybercrime","Detailed facts about Cybercrime"
67,"undefined","undefined","undefined",1146,undefined,undefined,1,2,2,"Others","Detailed facts about Others"
68,"undefined","undefined","undefined",1031,undefined,undefined,1,2,1,"Assault/Violent","Detailed facts about Assault/Violent"
69,"undefined","undefined","undefined",1013,undefined,undefined,1,1,2,"Theft/Property","Detailed facts about Theft/Property"
70,"undefined","undefined","undefined",1227,undefined,undefined,1,2,1,"Theft/Property","Detailed facts about Theft/Property"
